Corridor/Area,Total Score,Average Score,Mentions,Timeline,Documents,Top Evidence
North Tryon Street,118,59.0,2,unspecified,"Charlotte 2040 Comprehensive Plan Update - Q4 2024, Unified Development Ordinance Amendment Package 2024-08",...ional mobility goals. The following strategic corridor areas have been identified for transformation over the next 15 years: North Tryon Street Corridor: The area along North Tryon Street from uptown to University City represents a critical transit-oriented development opportunity....
Independence Boulevard,91,91.0,1,unspecified,Unified Development Ordinance Amendment Package 2024-08,...nfrastructure investment and is ripe for transformation from auto-oriented commercial to walkable mixed-use development. The Independence Boulevard corridor between downtown and Matthews has been studied extensively and shows strong redevelopment potential. Current zoning does not reflect...
Central Avenue,62,31.0,2,immediate,"Charlotte 2040 Comprehensive Plan Update - Q4 2024, Charlotte Planning Commission Agenda - October 2024","...Planning Commission Meeting Agenda Item 5: Area Plan Updates - Staff Presentation Central Avenue Vision Plan Refresh Staff presented updates to the Central Avenue Vision Plan, originally adopted in 2017. The corridor from..."
Central,52,52.0,1,immediate,Charlotte Planning Commission Agenda - October 2024,"...Planning Commission Meeting Agenda Item 5: Area Plan Updates - Staff Presentation Central Avenue Vision Plan Refresh Staff presented updates to the Central Avenue Vision Plan, originally adopted in 2017. The corrid..."
The Independence Boulevard,48,48.0,1,unspecified,Unified Development Ordinance Amendment Package 2024-08,...nt infrastructure investment and is ripe for transformation from auto-oriented commercial to walkable mixed-use development. The Independence Boulevard corridor between downtown and Matthews has been studied extensively and shows strong redevelopment potential. Current zoning does not reflect...
West Trade Street,47,47.0,1,unspecified,Charlotte 2040 Comprehensive Plan Update - Q4 2024,...nities. Infrastructure investments including sewer expansion and sidewalk improvements are scheduled for 2025-2026. West Trade Street Corridor: Recent private investment signals strong market interest in the West Trade Street area between downtown and the airport. The city w...
"West Morehead Street Zoning Study
        
        The West Morehead Street",43,43.0,1,immediate,Unified Development Ordinance Amendment Package 2024-08,...is priority area. Immediate action is recommended to encourage development before land values escalate further. Amendment B: West Morehead Street Zoning Study The West Morehead Street area from I-77 to Freedom Drive will undergo a comprehensive master plan update beginning in January 2025. This study will evaluate opportuni...
Eastway,36,36.0,1,immediate,Charlotte Planning Commission Agenda - October 2024,...into mixed-use projects Commissioner feedback emphasized the need for immediate rezoning along The Plaza between Central and Eastway to prevent incompatible development and capture near-term opportunities. Item 7: Mobility Investment Updates Transp...
Eastland,36,36.0,1,unspecified,Charlotte-Mecklenburg Planning Department Annual Report 2024,"...a comprehensive area study to establish a cohesive vision before individual petitions create piecemeal development patterns. Eastland Area Reimagining: Following demolition of the mall, the broader Eastland area (bounded by Central Avenue, Albemarle Road, and Eastway Drive)..."
Albemarle Road,33,33.0,1,long_term,Charlotte 2040 Comprehensive Plan Update - Q4 2024,"...nts and neighborhood-serving retail. Eastway Drive Corridor: A long-term priority area, Eastway Drive from Central Avenue to Albemarle Road has been identified for potential corridor improvements and strategic land use changes. This area is appropriate for moderate-density residen..."
Matthews,28,28.0,1,immediate,Charlotte Planning Commission Agenda - October 2024,"...or. Preliminary engineering in 2025, with potential service by 2028. Monroe Road Corridor: The section from Wendover Road to Matthews is being evaluated for road diet and mixed-use development potential. Current zoning does not align with the city's vision for this a..."
Wendover Road,28,28.0,1,immediate,Charlotte Planning Commission Agenda - October 2024,"...along the corridor. Preliminary engineering in 2025, with potential service by 2028. Monroe Road Corridor: The section from Wendover Road to Matthews is being evaluated for road diet and mixed-use development potential. Current zoning does not align with the city's visio..."
Park Road,26,26.0,1,unspecified,Charlotte Planning Commission Agenda - October 2024,...t land use patterns: Scaleybark Road Improvements: Road widening and complete streets implementation from South Boulevard to Park Road. Construction begins 2025. This investment creates opportunities for corridor development between two successful transit-oriented areas....
South Boulevard,26,26.0,1,unspecified,Charlotte Planning Commission Agenda - October 2024,...will impact land use patterns: Scaleybark Road Improvements: Road widening and complete streets implementation from South Boulevard to Park Road. Construction begins 2025. This investment creates opportunities for corridor development between two successful transit-oriente...
"Statesville
        Road",23,23.0,1,unspecified,Charlotte City Council Strategic Planning Session Minutes,...tive position in attracting advanced manufacturing. Statesville Road Corridor: The area near the former Eastland Mall site and along Statesville Road to I-85 should be evaluated for comprehensive rezoning. Current B-2 zoning is outdated and does not reflect the area's potential for mixed-us...
Sharon Amity Road,23,23.0,1,immediate,Charlotte Planning Commission Agenda - October 2024,"...(Pecan Avenue, The Plaza) to capture spillover development demand - Encourage development along Briar Creek from Central Avenue to Sharon Amity Road - Support transformation of aging retail centers into mixed-use projects Commissioner feedback emphasized the need for immed..."
Scaleybark,23,23.0,1,long_term,Charlotte-Mecklenburg Planning Department Annual Report 2024,"...South End Expansion: Success of South End is driving development interest in adjacent areas including Remount Road, Clanton Road, and the Scaleybark neighborhood. These corridors are natural extensions of the South End growth pattern and should be evaluated for complementary zoning..."
North Davidson,18,18.0,1,unspecified,Unified Development Ordinance Amendment Package 2024-08,"...and consistent with our arts district strategy, staff proposes extending NoDa zoning provisions to include properties along 36th Street from North Davidson to North Tryon Street. This would promote mixed-use development with arts/creative space requirements and encourage the district's or..."
